Renewable Sources [kWh],Renewable Share
3148083.333333333,0.2507467243691009
3160750.0,0.27680148293024687
3040833.333333333,0.28443813918682964
2983083.3333333335,0.28415955546735466
3068666.6666666665,0.29319405076594796
3076250.0,0.28914615137582345
3437500.0,0.27867102632005625
2744333.333333333,0.25374663861985003
3025083.333333333,0.2700404677596929
3411500.0,0.2872035919741827
3480416.6666666665,0.2857191722250727
3611583.333333333,0.28636844191885824
3528666.6666666665,0.26638315540485286
3610666.6666666665,0.2596029981845525
3547833.333333333,0.2549402380895351
3558166.6666666665,0.2560231211100052
3357416.6666666665,0.24698086142000664
3500583.333333333,0.24846950545063082
3613916.6666666665,0.2496287256944844
4193583.333333333,0.24507397559146382
3629416.6666666665,0.24685711046874118
3585999.9999999995,0.2453769437364216
3570166.6666666665,0.24686961582565506
3410916.6666666665,0.24467970636761438
2997000.0,0.23711224657985827
3203666.6666666665,0.23854110434777215
2664333.333333333,0.23927913903815354
2885833.333333333,0.2609763817504936
2895333.333333333,0.2658911762455039
2699916.6666666665,0.24437320862875248
2897166.6666666665,0.24885828406178867
3289166.6666666665,0.26155701638127554
3823750.0,0.27885988635327724
3942666.6666666665,0.27342761207399746
3982166.6666666665,0.26521256521256525
3980583.333333333,0.2636249744747314
4068250.0,0.26262729507711674
4223666.666666666,0.26610523663015967
4216750.0,0.2599402046603378
4189166.6666666665,0.2569384104267825
4277500.0,0.25900304264240626
4275583.333333333,0.25548495682743927
4374500.0,0.2545175976610796
4383750.0,0.25462122642194374
4238583.333333333,0.24937732888801728
4229500.0,0.2552145141500895
4228083.333333333,0.2621064812423156
3724166.6666666665,0.24769843865181992
2796416.6666666665,0.24373715290135609
3488083.333333333,0.27834708765303207
3553000.0,0.2946163892286324
3518000.0,0.30117284479068573
3531916.6666666665,0.30145882085167824
3506749.9999999995,0.2996923383708177
3593083.333333333,0.30069110765518536
3944666.6666666665,0.2991670142707267
4127750.0,0.29561351157794225
4004249.9999999995,0.27807935368874276
4752750.0,0.2742010702077434
4191583.333333333,0.2796113158670069
4155250.0,0.27482569515253397
4207916.666666666,0.2687719895887115
4181916.6666666665,0.260605619978916
4114500.0,0.25405728046433607
4051666.6666666665,0.24637806008949067
3975083.333333333,0.2418313907801814
4514083.333333333,0.2346837537962975
3989500.0,0.239645592431296
4018750.0,0.2481258714633381
4053166.6666666665,0.25407322666415927
4132000.0,0.2614652049420214
3835500.0,0.2555069503042146
3283583.333333333,0.23581478577797996
2972583.333333333,0.25440761133141243
3244166.6666666665,0.2707684175383931
3175500.0,0.2786667056689873
3232000.0,0.2843485146191971
3281000.0,0.2860859013391657
3274083.333333333,0.279144286242078
3524916.6666666665,0.2770072036673215
3771333.333333333,0.27612295452049446
3733750.0,0.2588896721481978
3797333.333333333,0.2538960858058225
3835750.0,0.252216462646166
4516000.0,0.2514079998515453
3863750.0,0.2457817146673876
3714166.6666666665,0.23115301634719113
3739416.6666666665,0.23638145106488334
3855083.333333333,0.2428373455396794
3912166.6666666665,0.24568895587688863
3923083.333333333,0.24596904814153
3937750.0,0.24479487750672171
3950500.0,0.24819765341542716
4058083.333333333,0.2563836620370858
3991750.0,0.2585107071928158
3811083.333333333,0.2550300015614196
2914916.6666666665,0.23353585258378956
2926666.6666666665,0.24076892490367874
2835583.333333333,0.24419772932784084
2714666.6666666665,0.24283627038792976
2705833.333333333,0.2480329997708349
2738250.0,0.24910921413734025
2778416.6666666665,0.2458195706028076
4005166.6666666665,0.27226738422319785
3677916.6666666665,0.2700329778577241
3748916.6666666665,0.2554236431665787
3771249.9999999995,0.25094962153769373
3804083.333333333,0.249238345872872
3832249.9999999995,0.24682790158443899
3926916.6666666665,0.2463419606777109
3831916.6666666665,0.23516987076218096
3795666.6666666665,0.22715394282750503
3838333.333333333,0.22677478595237038
4005750.0,0.22800318746264694
4170999.9999999995,0.23687872104799856
4162416.6666666665,0.23993639996925678
4012000.0,0.23900276513252286
3971083.333333333,0.2387078029745177
3909000.0,0.23655425951981118
3703833.333333333,0.23495144604616985
2910000.0,0.22191859171936068
2749916.6666666665,0.21216719281438667
2730250.0,0.2191622294169588
2751333.333333333,0.22955994521043224
2752666.6666666665,0.2331270158302221
2790583.333333333,0.23558504052228726
2928166.6666666665,0.24231098116017985
3437250.0,0.26824351128655693
3717833.333333333,0.26583802078367813
3913083.333333333,0.2614095641039915
3826166.6666666665,0.24447047548053885
3825083.333333333,0.23635090393240205
3893833.333333333,0.22892894413224438
3955333.333333333,0.22184726266540156
4348583.333333333,0.23039055532499184
4335583.333333333,0.21967985609991936
4416500.0,0.2212379775581085
4623166.666666666,0.22656380810807497
4907083.333333333,0.23569461566787814
4740416.666666666,0.23033255185873527
5051666.666666666,0.2201401750372226
3861083.333333333,0.20655236362987925
4541500.0,0.2191755479589785
3686333.333333333,0.21983788968348236
3419083.333333333,0.21117075756717946
2941250.0,0.22223831352004836
3152250.0,0.23633603238866396
3137083.333333333,0.24530182974508682
3112500.0,0.25096084070201846
3042250.0,0.2512664152190073
2993166.6666666665,0.24345739597242652
3425416.6666666665,0.27158723761323017
3652833.333333333,0.2756560619304855
3681166.6666666665,0.26333704924678236
3442166.6666666665,0.23094040031309407
3500000.0,0.2203602365199872
3578249.9999999995,0.21610617331172555
3773833.333333333,0.22021444722701744
3932083.333333333,0.22171110129591867
3960833.333333333,0.21773487926777313
3870500.0,0.20930672723339822
3861083.333333333,0.21018036326686143
3775583.333333333,0.21011162484406376
3696499.9999999995,0.21018067065629928
3541916.6666666665,0.2037887650793042
3500416.6666666665,0.2042200452147702
3416250.0,0.2056670696895052
3082416.6666666665,0.1936819947847396
2742583.333333333,0.1825731435355205
2431500.0,0.1791523144651771
2410916.6666666665,0.18786607618280757
2376083.333333333,0.19206105430492124
2421083.333333333,0.20170091641210774
2482416.6666666665,0.20810657873594937
2545583.333333333,0.2123147710528511
2955166.6666666665,0.23938812982664578
