kpi,name,level,env_id,value,net_value,net_value_without_storage
cost,Building_8,building,RBC,0.0,6.836554234407949,6.361613395987078
cost,Building_8,building,SAC,0.007681145747868595,29.281994607608343,6.361613395987078
cost,Building_8,building,SAC Best,0.007661592523751198,23.48616250688889,6.361613395987078
cost,District,district,RBC,0.0,7.882139620686765,7.416590267771565
cost,District,district,SAC,0.004062019202317994,17.313459411683134,7.416590267771565
cost,District,district,SAC Best,0.001788854381999843,10.128424285149094,7.416590267771565
electricity_consumption,Building_11,building,RBC,0.0,0.0,0.0
electricity_consumption,Building_11,building,SAC,0.006655824516917453,51.06955027215331,0.0
electricity_consumption,Building_11,building,SAC Best,0.005069516742254591,38.3379601217904,0.0
electricity_consumption,Building_17,building,RBC,0.0,0.0,0.0
electricity_consumption,Building_17,building,SAC,0.0035355339059327247,37.301788672932055,0.0
electricity_consumption,Building_17,building,SAC Best,0.005522680508593686,61.14196396665745,0.0
electricity_consumption,Building_3,building,RBC,0.0,0.0,0.0
electricity_consumption,Building_3,building,SAC,0.013700364958642488,62.50089108564776,0.0
electricity_consumption,Building_3,building,SAC Best,0.005983310120660632,27.58487856960786,0.0
electricity_consumption,Building_5,building,RBC,0.0,0.0,0.0
electricity_consumption,Building_5,building,SAC,0.0030495901363954184,15.629235144433153,0.0
electricity_consumption,Building_5,building,SAC Best,0.006906518659932779,38.52625868417534,0.0
electricity_consumption,Building_7,building,RBC,0.0,0.0,0.0
electricity_consumption,Building_7,building,SAC,0.004494441010848854,24.696819090724823,0.0
electricity_consumption,Building_7,building,SAC Best,0.007797435475847118,43.44572960027237,0.0
electricity_consumption,Building_8,building,RBC,0.0,0.0,0.0
electricity_consumption,Building_8,building,SAC,0.008354639429682157,49.64816556228421,0.0
electricity_consumption,Building_8,building,SAC Best,0.00634822809924155,38.8971885397903,0.0
electricity_consumption,District,district,RBC,0.0,0.0,0.0
electricity_consumption,District,district,SAC,0.003911521443121602,21.610119604019115,0.0
electricity_consumption,District,district,SAC Best,0.0010954451150103667,12.070247814357673,0.0
fossil_energy_consumption,District,district,RBC,0.0,0.5818248877481599,0.5822721013407004
fossil_energy_consumption,District,district,SAC,0.003286335345030963,128.9769836183966,0.5822721013407004
fossil_energy_consumption,District,district,SAC Best,0.002167948338867901,78.48534549328302,0.5822721013407004
ramping,District,district,RBC,0.0,0.0,0.0
ramping,District,district,SAC,0.006340346993658927,137.1320550498671,0.0
ramping,District,district,SAC Best,0.004159326868617084,91.26021848374049,0.0
