kpi,value,net_value,net_value_without_storage,name,level,env_id
cost,1.002,1308.198,1306.235,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.992,0.199,0.2,Building_7,building,MARLISA Best
electricity_consumption,0.996,5718.584,5739.114,Building_8,building,MARLISA Best
carbon_emissions,0.996,897.055,900.577,Building_8,building,MARLISA Best
cost,0.989,1669.452,1687.963,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.997,0.188,0.189,Building_8,building,MARLISA Best
electricity_consumption,0.994,6976.481,7015.827,Building_11,building,MARLISA Best
carbon_emissions,0.994,1099.969,1106.639,Building_11,building,MARLISA Best
cost,0.987,2039.661,2066.454,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,1.019,0.088,0.086,Building_11,building,MARLISA Best
electricity_consumption,0.99,11091.986,11201.882,Building_17,building,MARLISA Best
carbon_emissions,0.99,1820.514,1838.66,Building_17,building,MARLISA Best
cost,0.98,3652.226,3725.516,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.974,0.146,0.15,Building_17,building,MARLISA Best
