Time Stamp,Time Zone,Fuel Category,Gen MW
12/30/2021 01:15:00,EST,Other Fossil Fuels,3.0
12/30/2021 01:15:00,EST,Other Renewables,244.0
12/30/2021 01:15:00,EST,Wind,146.0
12/30/2021 01:15:00,EST,Hydro,2952.0
12/30/2021 01:20:00,EST,Dual Fuel,3641.0
12/30/2021 01:20:00,EST,Natural Gas,1655.0
12/30/2021 01:20:00,EST,Nuclear,3334.0
12/30/2021 01:20:00,EST,Other Fossil Fuels,3.0
12/30/2021 01:20:00,EST,Other Renewables,243.0
12/30/2021 01:20:00,EST,Wind,122.0
12/30/2021 01:20:00,EST,Hydro,2950.0
12/30/2021 01:25:00,EST,Dual Fuel,3659.0
12/30/2021 01:25:00,EST,Natural Gas,1664.0
12/30/2021 01:25:00,EST,Nuclear,3336.0
12/30/2021 01:25:00,EST,Other Fossil Fuels,3.0
12/30/2021 01:25:00,EST,Other Renewables,243.0
12/30/2021 01:25:00,EST,Wind,108.0
12/30/2021 01:25:00,EST,Hydro,2972.0
12/30/2021 01:30:00,EST,Dual Fuel,3665.0
12/30/2021 01:30:00,EST,Natural Gas,1661.0
12/30/2021 01:30:00,EST,Nuclear,3335.0
12/30/2021 01:30:00,EST,Other Fossil Fuels,3.0
12/30/2021 01:30:00,EST,Other Renewables,246.0
12/30/2021 01:30:00,EST,Wind,103.0
12/30/2021 01:30:00,EST,Hydro,2969.0
12/30/2021 01:35:00,EST,Dual Fuel,3668.0
12/30/2021 01:35:00,EST,Natural Gas,1655.0
12/30/2021 01:35:00,EST,Nuclear,3335.0
12/30/2021 01:35:00,EST,Other Fossil Fuels,3.0
12/30/2021 01:35:00,EST,Other Renewables,245.0
12/30/2021 01:35:00,EST,Wind,112.0
12/30/2021 01:35:00,EST,Hydro,2950.0
12/30/2021 01:40:00,EST,Dual Fuel,3668.0
12/30/2021 01:40:00,EST,Natural Gas,1649.0
12/30/2021 01:40:00,EST,Nuclear,3334.0
12/30/2021 01:40:00,EST,Other Fossil Fuels,3.0
12/30/2021 01:40:00,EST,Other Renewables,242.0
12/30/2021 01:40:00,EST,Wind,114.0
12/30/2021 01:40:00,EST,Hydro,2928.0
12/30/2021 01:45:00,EST,Dual Fuel,3628.0
12/30/2021 01:45:00,EST,Natural Gas,1647.0
12/30/2021 01:45:00,EST,Nuclear,3335.0
12/30/2021 01:45:00,EST,Other Fossil Fuels,3.0
12/30/2021 01:45:00,EST,Other Renewables,244.0
12/30/2021 01:45:00,EST,Wind,107.0
12/30/2021 01:45:00,EST,Hydro,2961.0
12/30/2021 01:50:00,EST,Dual Fuel,3563.0
12/30/2021 01:50:00,EST,Natural Gas,1644.0
12/30/2021 01:50:00,EST,Nuclear,3336.0
12/30/2021 01:50:00,EST,Other Fossil Fuels,3.0
12/30/2021 01:50:00,EST,Other Renewables,246.0
12/30/2021 01:50:00,EST,Wind,106.0
12/30/2021 01:50:00,EST,Hydro,2974.0
12/30/2021 01:55:00,EST,Dual Fuel,3501.0
12/30/2021 01:55:00,EST,Natural Gas,1633.0
12/30/2021 01:55:00,EST,Nuclear,3335.0
12/30/2021 01:55:00,EST,Other Fossil Fuels,3.0
12/30/2021 01:55:00,EST,Other Renewables,247.0
12/30/2021 01:55:00,EST,Wind,107.0
12/30/2021 01:55:00,EST,Hydro,2913.0
12/30/2021 02:00:00,EST,Dual Fuel,3478.0
12/30/2021 02:00:00,EST,Natural Gas,1633.0
12/30/2021 02:00:00,EST,Nuclear,3337.0
12/30/2021 02:00:00,EST,Other Fossil Fuels,3.0
12/30/2021 02:00:00,EST,Other Renewables,245.0
12/30/2021 02:00:00,EST,Wind,105.0
12/30/2021 02:00:00,EST,Hydro,2912.0
12/30/2021 02:05:00,EST,Dual Fuel,3444.0
12/30/2021 02:05:00,EST,Natural Gas,1635.0
12/30/2021 02:05:00,EST,Nuclear,3351.0
12/30/2021 02:05:00,EST,Other Fossil Fuels,3.0
12/30/2021 02:05:00,EST,Other Renewables,244.0
12/30/2021 02:05:00,EST,Wind,97.0
12/30/2021 02:05:00,EST,Hydro,2892.0
12/30/2021 02:10:00,EST,Dual Fuel,3404.0
12/30/2021 02:10:00,EST,Natural Gas,1634.0
12/30/2021 02:10:00,EST,Nuclear,3351.0
12/30/2021 02:10:00,EST,Other Fossil Fuels,3.0
12/30/2021 02:10:00,EST,Other Renewables,242.0
12/30/2021 02:10:00,EST,Wind,82.0
12/30/2021 02:10:00,EST,Hydro,2909.0
12/30/2021 02:15:00,EST,Dual Fuel,3380.0
12/30/2021 02:15:00,EST,Natural Gas,1634.0
12/30/2021 02:15:00,EST,Nuclear,3350.0
12/30/2021 02:15:00,EST,Other Fossil Fuels,3.0
12/30/2021 02:15:00,EST,Other Renewables,241.0
12/30/2021 02:15:00,EST,Wind,76.0
12/30/2021 02:15:00,EST,Hydro,2925.0
12/30/2021 02:20:00,EST,Dual Fuel,3393.0
12/30/2021 02:20:00,EST,Natural Gas,1635.0
12/30/2021 02:20:00,EST,Nuclear,3351.0
12/30/2021 02:20:00,EST,Other Fossil Fuels,3.0
12/30/2021 02:20:00,EST,Other Renewables,246.0
12/30/2021 02:20:00,EST,Wind,78.0
12/30/2021 02:20:00,EST,Hydro,2929.0
12/30/2021 02:25:00,EST,Dual Fuel,3390.0
12/30/2021 02:25:00,EST,Natural Gas,1634.0
12/30/2021 02:25:00,EST,Nuclear,3351.0
12/30/2021 02:25:00,EST,Other Fossil Fuels,3.0
12/30/2021 02:25:00,EST,Other Renewables,247.0
12/30/2021 02:25:00,EST,Wind,78.0
12/30/2021 02:25:00,EST,Hydro,2927.0
12/30/2021 02:30:00,EST,Dual Fuel,3382.0
12/30/2021 02:30:00,EST,Natural Gas,1633.0
12/30/2021 02:30:00,EST,Nuclear,3351.0
12/30/2021 02:30:00,EST,Other Fossil Fuels,3.0
12/30/2021 02:30:00,EST,Other Renewables,246.0
12/30/2021 02:30:00,EST,Wind,68.0
12/30/2021 02:30:00,EST,Hydro,2932.0
12/30/2021 02:35:00,EST,Dual Fuel,3399.0
12/30/2021 02:35:00,EST,Natural Gas,1633.0
12/30/2021 02:35:00,EST,Nuclear,3352.0
12/30/2021 02:35:00,EST,Other Fossil Fuels,3.0
12/30/2021 02:35:00,EST,Other Renewables,243.0
12/30/2021 02:35:00,EST,Wind,55.0
12/30/2021 02:35:00,EST,Hydro,2939.0
12/30/2021 02:40:00,EST,Dual Fuel,3405.0
12/30/2021 02:40:00,EST,Natural Gas,1634.0
12/30/2021 02:40:00,EST,Nuclear,3351.0
12/30/2021 02:40:00,EST,Other Fossil Fuels,3.0
12/30/2021 02:40:00,EST,Other Renewables,243.0
12/30/2021 02:40:00,EST,Wind,49.0
12/30/2021 02:40:00,EST,Hydro,2945.0
12/30/2021 02:45:00,EST,Dual Fuel,3398.0
12/30/2021 02:45:00,EST,Natural Gas,1633.0
12/30/2021 02:45:00,EST,Nuclear,3352.0
12/30/2021 02:45:00,EST,Other Fossil Fuels,3.0
12/30/2021 02:45:00,EST,Other Renewables,245.0
12/30/2021 02:45:00,EST,Wind,44.0
12/30/2021 02:45:00,EST,Hydro,2921.0
12/30/2021 02:50:00,EST,Dual Fuel,3381.0
12/30/2021 02:50:00,EST,Natural Gas,1634.0
12/30/2021 02:50:00,EST,Nuclear,3351.0
12/30/2021 02:50:00,EST,Other Fossil Fuels,3.0
12/30/2021 02:50:00,EST,Other Renewables,246.0
12/30/2021 02:50:00,EST,Wind,40.0
12/30/2021 02:50:00,EST,Hydro,2905.0
12/30/2021 02:55:00,EST,Dual Fuel,3343.0
12/30/2021 02:55:00,EST,Natural Gas,1634.0
12/30/2021 02:55:00,EST,Nuclear,3351.0
12/30/2021 02:55:00,EST,Other Fossil Fuels,3.0
12/30/2021 02:55:00,EST,Other Renewables,246.0
12/30/2021 02:55:00,EST,Wind,37.0
12/30/2021 02:55:00,EST,Hydro,2917.0
12/30/2021 03:00:00,EST,Dual Fuel,3367.0
12/30/2021 03:00:00,EST,Natural Gas,1634.0
12/30/2021 03:00:00,EST,Nuclear,3339.0
12/30/2021 03:00:00,EST,Other Fossil Fuels,3.0
12/30/2021 03:00:00,EST,Other Renewables,244.0
12/30/2021 03:00:00,EST,Wind,31.0
12/30/2021 03:00:00,EST,Hydro,2949.0
12/30/2021 03:05:00,EST,Dual Fuel,3436.0
12/30/2021 03:05:00,EST,Natural Gas,1634.0
12/30/2021 03:05:00,EST,Nuclear,3330.0
12/30/2021 03:05:00,EST,Other Fossil Fuels,3.0
12/30/2021 03:05:00,EST,Other Renewables,246.0
12/30/2021 03:05:00,EST,Wind,30.0
12/30/2021 03:05:00,EST,Hydro,2976.0
12/30/2021 03:10:00,EST,Dual Fuel,3404.0
12/30/2021 03:10:00,EST,Natural Gas,1634.0
12/30/2021 03:10:00,EST,Nuclear,3329.0
12/30/2021 03:10:00,EST,Other Fossil Fuels,3.0
12/30/2021 03:10:00,EST,Other Renewables,243.0
12/30/2021 03:10:00,EST,Wind,31.0
12/30/2021 03:10:00,EST,Hydro,2991.0
12/30/2021 03:15:00,EST,Dual Fuel,3408.0
12/30/2021 03:15:00,EST,Natural Gas,1634.0
12/30/2021 03:15:00,EST,Nuclear,3325.0
12/30/2021 03:15:00,EST,Other Fossil Fuels,3.0
12/30/2021 03:15:00,EST,Other Renewables,248.0
12/30/2021 03:15:00,EST,Wind,31.0
12/30/2021 03:15:00,EST,Hydro,2985.0
12/30/2021 03:20:00,EST,Dual Fuel,3418.0
12/30/2021 03:20:00,EST,Natural Gas,1635.0
12/30/2021 03:20:00,EST,Nuclear,3330.0
12/30/2021 03:20:00,EST,Other Fossil Fuels,3.0
12/30/2021 03:20:00,EST,Other Renewables,247.0
12/30/2021 03:20:00,EST,Wind,34.0
12/30/2021 03:20:00,EST,Hydro,2969.0
12/30/2021 03:25:00,EST,Dual Fuel,3440.0
12/30/2021 03:25:00,EST,Natural Gas,1633.0
12/30/2021 03:25:00,EST,Nuclear,3325.0
12/30/2021 03:25:00,EST,Other Fossil Fuels,3.0
12/30/2021 03:25:00,EST,Other Renewables,242.0
12/30/2021 03:25:00,EST,Wind,38.0
12/30/2021 03:25:00,EST,Hydro,2973.0
12/30/2021 03:30:00,EST,Dual Fuel,3445.0
12/30/2021 03:30:00,EST,Natural Gas,1634.0
12/30/2021 03:30:00,EST,Nuclear,3329.0
12/30/2021 03:30:00,EST,Other Fossil Fuels,3.0
12/30/2021 03:30:00,EST,Other Renewables,247.0
12/30/2021 03:30:00,EST,Wind,34.0
12/30/2021 03:30:00,EST,Hydro,2976.0
12/30/2021 03:35:00,EST,Dual Fuel,3447.0
12/30/2021 03:35:00,EST,Natural Gas,1633.0
12/30/2021 03:35:00,EST,Nuclear,3328.0
12/30/2021 03:35:00,EST,Other Fossil Fuels,3.0
12/30/2021 03:35:00,EST,Other Renewables,247.0
12/30/2021 03:35:00,EST,Wind,30.0
12/30/2021 03:35:00,EST,Hydro,2979.0
12/30/2021 03:40:00,EST,Dual Fuel,3436.0
12/30/2021 03:40:00,EST,Natural Gas,1633.0
12/30/2021 03:40:00,EST,Nuclear,3322.0
12/30/2021 03:40:00,EST,Other Fossil Fuels,3.0
12/30/2021 03:40:00,EST,Other Renewables,247.0
12/30/2021 03:40:00,EST,Wind,31.0
12/30/2021 03:40:00,EST,Hydro,2981.0
12/30/2021 03:45:00,EST,Dual Fuel,3443.0
12/30/2021 03:45:00,EST,Natural Gas,1634.0
12/30/2021 03:45:00,EST,Nuclear,3329.0
12/30/2021 03:45:00,EST,Other Fossil Fuels,3.0
12/30/2021 03:45:00,EST,Other Renewables,245.0
12/30/2021 03:45:00,EST,Wind,34.0
12/30/2021 03:45:00,EST,Hydro,2956.0
12/30/2021 03:50:00,EST,Dual Fuel,3476.0
12/30/2021 03:50:00,EST,Natural Gas,1634.0
12/30/2021 03:50:00,EST,Nuclear,3330.0
12/30/2021 03:50:00,EST,Other Fossil Fuels,3.0
12/30/2021 03:50:00,EST,Other Renewables,245.0
12/30/2021 03:50:00,EST,Wind,32.0
12/30/2021 03:50:00,EST,Hydro,2975.0
12/30/2021 03:55:00,EST,Dual Fuel,3475.0
12/30/2021 03:55:00,EST,Natural Gas,1633.0
12/30/2021 03:55:00,EST,Nuclear,3321.0
12/30/2021 03:55:00,EST,Other Fossil Fuels,3.0
12/30/2021 03:55:00,EST,Other Renewables,246.0
12/30/2021 03:55:00,EST,Wind,29.0
12/30/2021 03:55:00,EST,Hydro,2961.0
12/30/2021 04:00:00,EST,Dual Fuel,3425.0
12/30/2021 04:00:00,EST,Natural Gas,1634.0
12/30/2021 04:00:00,EST,Nuclear,3330.0
12/30/2021 04:00:00,EST,Other Fossil Fuels,3.0
12/30/2021 04:00:00,EST,Other Renewables,246.0
12/30/2021 04:00:00,EST,Wind,33.0
12/30/2021 04:00:00,EST,Hydro,2990.0
