Time Stamp,Time Zone,Fuel Category,Gen MW
12/29/2021 00:05:00,EST,Dual Fuel,3516.0
12/29/2021 00:05:00,EST,Natural Gas,1956.0
12/29/2021 00:05:00,EST,Nuclear,3338.0
12/29/2021 00:05:00,EST,Other Fossil Fuels,3.0
12/29/2021 00:05:00,EST,Other Renewables,266.0
12/29/2021 00:05:00,EST,Wind,95.0
12/29/2021 00:05:00,EST,Hydro,3555.0
12/29/2021 00:10:00,EST,Dual Fuel,3592.0
12/29/2021 00:10:00,EST,Natural Gas,1894.0
12/29/2021 00:10:00,EST,Nuclear,3338.0
12/29/2021 00:10:00,EST,Other Fossil Fuels,3.0
12/29/2021 00:10:00,EST,Other Renewables,265.0
12/29/2021 00:10:00,EST,Wind,97.0
12/29/2021 00:10:00,EST,Hydro,3561.0
12/29/2021 00:15:00,EST,Dual Fuel,3586.0
12/29/2021 00:15:00,EST,Natural Gas,1858.0
12/29/2021 00:15:00,EST,Nuclear,3340.0
12/29/2021 00:15:00,EST,Other Fossil Fuels,3.0
12/29/2021 00:15:00,EST,Other Renewables,262.0
12/29/2021 00:15:00,EST,Wind,103.0
12/29/2021 00:15:00,EST,Hydro,3484.0
12/29/2021 00:20:00,EST,Dual Fuel,3501.0
12/29/2021 00:20:00,EST,Natural Gas,1847.0
12/29/2021 00:20:00,EST,Nuclear,3340.0
12/29/2021 00:20:00,EST,Other Fossil Fuels,3.0
12/29/2021 00:20:00,EST,Other Renewables,263.0
12/29/2021 00:20:00,EST,Wind,107.0
12/29/2021 00:20:00,EST,Hydro,3450.0
12/29/2021 00:25:00,EST,Dual Fuel,3403.0
12/29/2021 00:25:00,EST,Natural Gas,1839.0
12/29/2021 00:25:00,EST,Nuclear,3339.0
12/29/2021 00:25:00,EST,Other Fossil Fuels,3.0
12/29/2021 00:25:00,EST,Other Renewables,259.0
12/29/2021 00:25:00,EST,Wind,106.0
12/29/2021 00:25:00,EST,Hydro,3407.0
12/29/2021 00:30:00,EST,Dual Fuel,3369.0
12/29/2021 00:30:00,EST,Natural Gas,1840.0
12/29/2021 00:30:00,EST,Nuclear,3339.0
12/29/2021 00:30:00,EST,Other Fossil Fuels,3.0
12/29/2021 00:30:00,EST,Other Renewables,258.0
12/29/2021 00:30:00,EST,Wind,107.0
12/29/2021 00:30:00,EST,Hydro,3413.0
12/29/2021 00:35:00,EST,Dual Fuel,3307.0
12/29/2021 00:35:00,EST,Natural Gas,1842.0
12/29/2021 00:35:00,EST,Nuclear,3340.0
12/29/2021 00:35:00,EST,Other Fossil Fuels,3.0
12/29/2021 00:35:00,EST,Other Renewables,263.0
12/29/2021 00:35:00,EST,Wind,109.0
12/29/2021 00:35:00,EST,Hydro,3404.0
12/29/2021 00:40:00,EST,Dual Fuel,3230.0
12/29/2021 00:40:00,EST,Natural Gas,1842.0
12/29/2021 00:40:00,EST,Nuclear,3338.0
12/29/2021 00:40:00,EST,Other Fossil Fuels,3.0
12/29/2021 00:40:00,EST,Other Renewables,265.0
