Time Stamp,Time Zone,Fuel Category,Gen MW
12/16/2021 00:05:00,EST,Dual Fuel,2747.0
12/16/2021 00:05:00,EST,Natural Gas,1823.0
12/16/2021 00:05:00,EST,Nuclear,3332.0
12/16/2021 00:05:00,EST,Other Fossil Fuels,3.0
12/16/2021 00:05:00,EST,Other Renewables,254.0
12/16/2021 00:05:00,EST,Wind,1587.0
12/16/2021 00:05:00,EST,Hydro,2543.0
12/16/2021 00:10:00,EST,Dual Fuel,2778.0
12/16/2021 00:10:00,EST,Natural Gas,1741.0
12/16/2021 00:10:00,EST,Nuclear,3332.0
12/16/2021 00:10:00,EST,Other Fossil Fuels,3.0
12/16/2021 00:10:00,EST,Other Renewables,254.0
12/16/2021 00:10:00,EST,Wind,1522.0
12/16/2021 00:10:00,EST,Hydro,2481.0
12/16/2021 00:15:00,EST,Dual Fuel,2683.0
12/16/2021 00:15:00,EST,Natural Gas,1625.0
12/16/2021 00:15:00,EST,Nuclear,3329.0
12/16/2021 00:15:00,EST,Other Fossil Fuels,3.0
12/16/2021 00:15:00,EST,Other Renewables,253.0
12/16/2021 00:15:00,EST,Wind,1551.0
12/16/2021 00:15:00,EST,Hydro,2561.0
12/16/2021 00:20:00,EST,Dual Fuel,2512.0
12/16/2021 00:20:00,EST,Natural Gas,1527.0
12/16/2021 00:20:00,EST,Nuclear,3332.0
12/16/2021 00:20:00,EST,Other Fossil Fuels,3.0
12/16/2021 00:20:00,EST,Other Renewables,254.0
12/16/2021 00:20:00,EST,Wind,1597.0
12/16/2021 00:20:00,EST,Hydro,2683.0
12/16/2021 00:21:37,EST,Dual Fuel,2459.0
12/16/2021 00:21:37,EST,Natural Gas,1507.0
12/16/2021 00:21:37,EST,Nuclear,3332.0
12/16/2021 00:21:37,EST,Other Fossil Fuels,3.0
12/16/2021 00:21:37,EST,Other Renewables,251.0
12/16/2021 00:21:37,EST,Wind,1616.0
12/16/2021 00:21:37,EST,Hydro,2721.0
12/16/2021 00:23:01,EST,Dual Fuel,2449.0
12/16/2021 00:23:01,EST,Natural Gas,1501.0
12/16/2021 00:23:01,EST,Nuclear,3331.0
12/16/2021 00:23:01,EST,Other Fossil Fuels,3.0
12/16/2021 00:23:01,EST,Other Renewables,250.0
12/16/2021 00:23:01,EST,Wind,1597.0
12/16/2021 00:23:01,EST,Hydro,2713.0
12/16/2021 00:25:00,EST,Dual Fuel,2477.0
12/16/2021 00:25:00,EST,Natural Gas,1508.0
12/16/2021 00:25:00,EST,Nuclear,3329.0
12/16/2021 00:25:00,EST,Other Fossil Fuels,3.0
12/16/2021 00:25:00,EST,Other Renewables,249.0
12/16/2021 00:25:00,EST,Wind,1524.0
12/16/2021 00:25:00,EST,Hydro,2734.0
12/16/2021 00:30:00,EST,Dual Fuel,2554.0
12/16/2021 00:30:00,EST,Natural Gas,1520.0
12/16/2021 00:30:00,EST,Nuclear,3331.0
12/16/2021 00:30:00,EST,Other Fossil Fuels,3.0
12/16/2021 00:30:00,EST,Other Renewables,252.0
12/16/2021 00:30:00,EST,Wind,1567.0
12/16/2021 00:30:00,EST,Hydro,2635.0
12/16/2021 00:35:00,EST,Dual Fuel,2665.0
12/16/2021 00:35:00,EST,Natural Gas,1525.0
12/16/2021 00:35:00,EST,Nuclear,3332.0
12/16/2021 00:35:00,EST,Other Fossil Fuels,3.0
12/16/2021 00:35:00,EST,Other Renewables,251.0
12/16/2021 00:35:00,EST,Wind,1559.0
12/16/2021 00:35:00,EST,Hydro,2466.0
12/16/2021 00:40:00,EST,Dual Fuel,2745.0
12/16/2021 00:40:00,EST,Natural Gas,1530.0
12/16/2021 00:40:00,EST,Nuclear,3332.0
12/16/2021 00:40:00,EST,Other Fossil Fuels,3.0
12/16/2021 00:40:00,EST,Other Renewables,248.0
12/16/2021 00:40:00,EST,Wind,1585.0
12/16/2021 00:40:00,EST,Hydro,2360.0
12/16/2021 00:45:00,EST,Dual Fuel,2765.0
