Time Stamp,Time Zone,Fuel Category,Gen MW
12/14/2021 00:05:00,EST,Dual Fuel,2913.0
12/14/2021 00:05:00,EST,Natural Gas,2204.0
12/14/2021 00:05:00,EST,Nuclear,3333.0
12/14/2021 00:05:00,EST,Other Fossil Fuels,3.0
12/14/2021 00:05:00,EST,Other Renewables,262.0
12/14/2021 00:05:00,EST,Wind,1400.0
12/14/2021 00:05:00,EST,Hydro,3378.0
12/14/2021 00:10:00,EST,Dual Fuel,3016.0
12/14/2021 00:10:00,EST,Natural Gas,2137.0
12/14/2021 00:10:00,EST,Nuclear,3336.0
12/14/2021 00:10:00,EST,Other Fossil Fuels,3.0
12/14/2021 00:10:00,EST,Other Renewables,267.0
12/14/2021 00:10:00,EST,Wind,1375.0
12/14/2021 00:10:00,EST,Hydro,3363.0
12/14/2021 00:15:00,EST,Dual Fuel,3040.0
12/14/2021 00:15:00,EST,Natural Gas,2107.0
12/14/2021 00:15:00,EST,Nuclear,3336.0
12/14/2021 00:15:00,EST,Other Fossil Fuels,3.0
12/14/2021 00:15:00,EST,Other Renewables,266.0
12/14/2021 00:15:00,EST,Wind,1363.0
12/14/2021 00:15:00,EST,Hydro,3318.0
12/14/2021 00:20:00,EST,Dual Fuel,3056.0
12/14/2021 00:20:00,EST,Natural Gas,2070.0
12/14/2021 00:20:00,EST,Nuclear,3334.0
12/14/2021 00:20:00,EST,Other Fossil Fuels,3.0
12/14/2021 00:20:00,EST,Other Renewables,262.0
12/14/2021 00:20:00,EST,Wind,1379.0
12/14/2021 00:20:00,EST,Hydro,3369.0
12/14/2021 00:25:00,EST,Dual Fuel,3049.0
12/14/2021 00:25:00,EST,Natural Gas,2101.0
12/14/2021 00:25:00,EST,Nuclear,3334.0
12/14/2021 00:25:00,EST,Other Fossil Fuels,3.0
12/14/2021 00:25:00,EST,Other Renewables,265.0
12/14/2021 00:25:00,EST,Wind,1379.0
12/14/2021 00:25:00,EST,Hydro,3346.0
12/14/2021 00:30:00,EST,Dual Fuel,3045.0
12/14/2021 00:30:00,EST,Natural Gas,2080.0
12/14/2021 00:30:00,EST,Nuclear,3334.0
12/14/2021 00:30:00,EST,Other Fossil Fuels,3.0
12/14/2021 00:30:00,EST,Other Renewables,265.0
12/14/2021 00:30:00,EST,Wind,1361.0
12/14/2021 00:30:00,EST,Hydro,3322.0
12/14/2021 00:35:00,EST,Dual Fuel,3012.0
12/14/2021 00:35:00,EST,Natural Gas,2070.0
12/14/2021 00:35:00,EST,Nuclear,3335.0
12/14/2021 00:35:00,EST,Other Fossil Fuels,3.0
12/14/2021 00:35:00,EST,Other Renewables,266.0
12/14/2021 00:35:00,EST,Wind,1343.0
12/14/2021 00:35:00,EST,Hydro,3233.0
12/14/2021 00:40:00,EST,Dual Fuel,2984.0
12/14/2021 00:40:00,EST,Natural Gas,2028.0
12/14/2021 00:40:00,EST,Nuclear,3333.0
12/14/2021 00:40:00,EST,Other Fossil Fuels,3.0
12/14/2021 00:40:00,EST,Other Renewables,264.0
12/14/2021 00:40:00,EST,Wind,1327.0
12/14/2021 00:40:00,EST,Hydro,3223.0
12/14/2021 00:45:00,EST,Dual Fuel,2971.0
12/14/2021 00:45:00,EST,Natural Gas,2004.0
12/14/2021 00:45:00,EST,Nuclear,3335.0
12/14/2021 00:45:00,EST,Other Fossil Fuels,3.0
12/14/2021 00:45:00,EST,Other Renewables,265.0
12/14/2021 00:45:00,EST,Wind,1313.0
12/14/2021 00:45:00,EST,Hydro,3219.0
12/14/2021 00:50:00,EST,Dual Fuel,2919.0
12/14/2021 00:50:00,EST,Natural Gas,1991.0
12/14/2021 00:50:00,EST,Nuclear,3335.0
12/14/2021 00:50:00,EST,Other Fossil Fuels,3.0
12/14/2021 00:50:00,EST,Other Renewables,265.0
12/14/2021 00:50:00,EST,Wind,1276.0
12/14/2021 00:50:00,EST,Hydro,3199.0
12/14/2021 00:55:00,EST,Dual Fuel,2872.0
12/14/2021 00:55:00,EST,Natural Gas,1993.0
12/14/2021 00:55:00,EST,Nuclear,3334.0
12/14/2021 00:55:00,EST,Other Fossil Fuels,3.0
12/14/2021 00:55:00,EST,Other Renewables,264.0
12/14/2021 00:55:00,EST,Wind,1253.0
12/14/2021 00:55:00,EST,Hydro,3207.0
12/14/2021 01:00:00,EST,Dual Fuel,2888.0
12/14/2021 01:00:00,EST,Natural Gas,1955.0
12/14/2021 01:00:00,EST,Nuclear,3334.0
12/14/2021 01:00:00,EST,Other Fossil Fuels,3.0
12/14/2021 01:00:00,EST,Other Renewables,265.0
12/14/2021 01:00:00,EST,Wind,1236.0
12/14/2021 01:00:00,EST,Hydro,3186.0
12/14/2021 01:05:00,EST,Dual Fuel,2932.0
12/14/2021 01:05:00,EST,Natural Gas,1892.0
12/14/2021 01:05:00,EST,Nuclear,3335.0
12/14/2021 01:05:00,EST,Other Fossil Fuels,3.0
12/14/2021 01:05:00,EST,Other Renewables,264.0
12/14/2021 01:05:00,EST,Wind,1230.0
12/14/2021 01:05:00,EST,Hydro,3126.0
12/14/2021 01:10:00,EST,Dual Fuel,2929.0
12/14/2021 01:10:00,EST,Natural Gas,1885.0
12/14/2021 01:10:00,EST,Nuclear,3335.0
12/14/2021 01:10:00,EST,Other Fossil Fuels,3.0
12/14/2021 01:10:00,EST,Other Renewables,267.0
12/14/2021 01:10:00,EST,Wind,1221.0
12/14/2021 01:10:00,EST,Hydro,3046.0
12/14/2021 01:15:00,EST,Dual Fuel,2921.0
12/14/2021 01:15:00,EST,Natural Gas,1884.0
12/14/2021 01:15:00,EST,Nuclear,3335.0
12/14/2021 01:15:00,EST,Other Fossil Fuels,3.0
12/14/2021 01:15:00,EST,Other Renewables,265.0
12/14/2021 01:15:00,EST,Wind,1203.0
12/14/2021 01:15:00,EST,Hydro,2974.0
12/14/2021 01:20:00,EST,Dual Fuel,2922.0
12/14/2021 01:20:00,EST,Natural Gas,1883.0
12/14/2021 01:20:00,EST,Nuclear,3333.0
12/14/2021 01:20:00,EST,Other Fossil Fuels,3.0
12/14/2021 01:20:00,EST,Other Renewables,264.0
12/14/2021 01:20:00,EST,Wind,1189.0
12/14/2021 01:20:00,EST,Hydro,2986.0
12/14/2021 01:25:00,EST,Dual Fuel,2912.0
12/14/2021 01:25:00,EST,Natural Gas,1884.0
12/14/2021 01:25:00,EST,Nuclear,3335.0
12/14/2021 01:25:00,EST,Other Fossil Fuels,3.0
12/14/2021 01:25:00,EST,Other Renewables,262.0
12/14/2021 01:25:00,EST,Wind,1165.0
12/14/2021 01:25:00,EST,Hydro,2986.0
12/14/2021 01:30:00,EST,Dual Fuel,2888.0
12/14/2021 01:30:00,EST,Natural Gas,1883.0
12/14/2021 01:30:00,EST,Nuclear,3334.0
12/14/2021 01:30:00,EST,Other Fossil Fuels,3.0
12/14/2021 01:30:00,EST,Other Renewables,265.0
12/14/2021 01:30:00,EST,Wind,1133.0
12/14/2021 01:30:00,EST,Hydro,2975.0
12/14/2021 01:35:00,EST,Dual Fuel,2885.0
12/14/2021 01:35:00,EST,Natural Gas,1884.0
12/14/2021 01:35:00,EST,Nuclear,3335.0
12/14/2021 01:35:00,EST,Other Fossil Fuels,3.0
12/14/2021 01:35:00,EST,Other Renewables,259.0
12/14/2021 01:35:00,EST,Wind,1107.0
12/14/2021 01:35:00,EST,Hydro,3012.0
12/14/2021 01:40:00,EST,Dual Fuel,2885.0
12/14/2021 01:40:00,EST,Natural Gas,1883.0
12/14/2021 01:40:00,EST,Nuclear,3337.0
12/14/2021 01:40:00,EST,Other Fossil Fuels,3.0
12/14/2021 01:40:00,EST,Other Renewables,265.0
12/14/2021 01:40:00,EST,Wind,1081.0
12/14/2021 01:40:00,EST,Hydro,2970.0
12/14/2021 01:45:00,EST,Dual Fuel,2889.0
12/14/2021 01:45:00,EST,Natural Gas,1883.0
12/14/2021 01:45:00,EST,Nuclear,3334.0
12/14/2021 01:45:00,EST,Other Fossil Fuels,3.0
12/14/2021 01:45:00,EST,Other Renewables,267.0
12/14/2021 01:45:00,EST,Wind,1065.0
12/14/2021 01:45:00,EST,Hydro,2967.0
12/14/2021 01:50:00,EST,Dual Fuel,2888.0
12/14/2021 01:50:00,EST,Natural Gas,1884.0
12/14/2021 01:50:00,EST,Nuclear,3337.0
12/14/2021 01:50:00,EST,Other Fossil Fuels,3.0
12/14/2021 01:50:00,EST,Other Renewables,268.0
12/14/2021 01:50:00,EST,Wind,1069.0
12/14/2021 01:50:00,EST,Hydro,2953.0
12/14/2021 01:55:00,EST,Dual Fuel,2887.0
12/14/2021 01:55:00,EST,Natural Gas,1885.0
12/14/2021 01:55:00,EST,Nuclear,3336.0
12/14/2021 01:55:00,EST,Other Fossil Fuels,3.0
12/14/2021 01:55:00,EST,Other Renewables,266.0
12/14/2021 01:55:00,EST,Wind,1056.0
12/14/2021 01:55:00,EST,Hydro,2976.0
12/14/2021 02:00:00,EST,Dual Fuel,2901.0
12/14/2021 02:00:00,EST,Natural Gas,1886.0
12/14/2021 02:00:00,EST,Nuclear,3337.0
12/14/2021 02:00:00,EST,Other Fossil Fuels,3.0
12/14/2021 02:00:00,EST,Other Renewables,263.0
12/14/2021 02:00:00,EST,Wind,1032.0
12/14/2021 02:00:00,EST,Hydro,2981.0
12/14/2021 02:05:00,EST,Dual Fuel,2886.0
12/14/2021 02:05:00,EST,Natural Gas,1883.0
12/14/2021 02:05:00,EST,Nuclear,3336.0
12/14/2021 02:05:00,EST,Other Fossil Fuels,3.0
12/14/2021 02:05:00,EST,Other Renewables,262.0
12/14/2021 02:05:00,EST,Wind,1032.0
12/14/2021 02:05:00,EST,Hydro,3001.0
12/14/2021 02:10:00,EST,Dual Fuel,2823.0
12/14/2021 02:10:00,EST,Natural Gas,1883.0
12/14/2021 02:10:00,EST,Nuclear,3337.0
12/14/2021 02:10:00,EST,Other Fossil Fuels,3.0
12/14/2021 02:10:00,EST,Other Renewables,263.0
12/14/2021 02:10:00,EST,Wind,1015.0
12/14/2021 02:10:00,EST,Hydro,2937.0
12/14/2021 02:15:00,EST,Dual Fuel,2813.0
12/14/2021 02:15:00,EST,Natural Gas,1885.0
12/14/2021 02:15:00,EST,Nuclear,3336.0
12/14/2021 02:15:00,EST,Other Fossil Fuels,3.0
12/14/2021 02:15:00,EST,Other Renewables,266.0
12/14/2021 02:15:00,EST,Wind,999.0
12/14/2021 02:15:00,EST,Hydro,3013.0
12/14/2021 02:20:00,EST,Dual Fuel,2814.0
12/14/2021 02:20:00,EST,Natural Gas,1884.0
12/14/2021 02:20:00,EST,Nuclear,3336.0
12/14/2021 02:20:00,EST,Other Fossil Fuels,3.0
12/14/2021 02:20:00,EST,Other Renewables,266.0
12/14/2021 02:20:00,EST,Wind,1000.0
12/14/2021 02:20:00,EST,Hydro,2963.0
12/14/2021 02:25:00,EST,Dual Fuel,2824.0
12/14/2021 02:25:00,EST,Natural Gas,1884.0
12/14/2021 02:25:00,EST,Nuclear,3335.0
12/14/2021 02:25:00,EST,Other Fossil Fuels,3.0
12/14/2021 02:25:00,EST,Other Renewables,266.0
12/14/2021 02:25:00,EST,Wind,992.0
12/14/2021 02:25:00,EST,Hydro,2941.0
12/14/2021 02:30:00,EST,Dual Fuel,2839.0
