Renewable Sources [kWh],Renewable Share
3137000.0,0.2520132366182428
3200000.0,0.2803573773274153
3056000.0,0.2857746393080283
2979000.0,0.28431609095476695
3080500.0,0.2940588645400518
3081500.0,0.28995058799347373
2980000.0,0.28085481975723897
2721000.0,0.25427054683360006
3104500.0,0.2759654292325896
3419000.0,0.2879359858708842
3500500.0,0.28730609710565935
3586500.0,0.2880192629108016
3516000.0,0.264297985184593
3624000.0,0.2595417151770983
3516000.0,0.25307927939506886
3564000.0,0.25641416271203504
3361500.0,0.24667110133422016
3489500.0,0.24790753604912952
3646000.0,0.2504457378762418
3597500.0,0.24477185469061397
3629500.0,0.2471383484346946
3577000.0,0.24520419783952363
3589500.0,0.24665879364157195
3422000.0,0.24557080815489168
2934000.0,0.23674341498799767
2785000.0,0.24164300361177654
2685500.0,0.24089587090675718
2905000.0,0.2616042742491316
2880500.0,0.26449626020948896
2698000.0,0.2434029204635843
2889000.0,0.24865957037455946
3307500.0,0.26333479318788156
3803000.0,0.2775338797104251
3917500.0,0.2725328166640471
3987500.0,0.26582547549860375
3988000.0,0.26360894170871707
4034500.0,0.26200355396203867
4228500.0,0.26661615923819193
4224000.0,0.26043617428770194
4194000.0,0.25650030431839377
4286000.0,0.25901194286877816
4299500.0,0.2566586459465233
4365000.0,0.25424283521981744
4385500.0,0.2548648009140641
4265500.0,0.25014558892678196
4227500.0,0.2561813851340965
4227500.0,0.26197566482585366
3681000.0,0.24664336843396023
3321500.0,0.2429780931777753
3499000.0,0.2813978346518083
3534000.0,0.2938667289588982
3517500.0,0.30098769461082275
3531000.0,0.3014256505289695
3509500.0,0.30194561744938275
3613000.0,0.30218113350069986
3957500.0,0.2984082246846388
4133000.0,0.2974497249679293
3990500.0,0.2780822039206353
4075500.0,0.2754017943332481
4188500.0,0.27965793974373665
4150500.0,0.27375296236376984
4206000.0,0.27056469142658024
4195000.0,0.2602068467358021
4100000.0,0.25357969524785184
4054500.0,0.24568618256296493
3993500.0,0.24334633009119266
3869000.0,0.2346031475790896
3992000.0,0.24012222634831476
4021000.0,0.24924834212947955
4067000.0,0.25453466111973955
4131500.0,0.2621942622637149
3831500.0,0.255841983597876
3257500.0,0.23630196036716683
3240000.0,0.2553225043368554
3243000.0,0.27023652572198303
3175500.0,0.27901962158812205
3232500.0,0.2843318372517504
3283000.0,0.28632354434600726
3278500.0,0.27901389061318727
3548000.0,0.2759381337854263
3781500.0,0.27783565385087006
3738000.0,0.25936189890181915
3813000.0,0.2544530956176333
3826500.0,0.2523734382122581
3885500.0,0.2522070863652236
3851500.0,0.2462722745579744
3731500.0,0.23191461072885491
