kpi,value,net_value,net_value_without_storage,name,level,env_id
carbon_emissions,0.948,3294.578,3475.528,Building_4,building,SAC_DB2Value Best
cost,0.949,3561.5,3752.009,Building_4,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.76,0.072,0.095,Building_4,building,SAC_DB2Value Best
electricity_consumption,0.963,7057.963,7331.304,Building_6,building,SAC_DB2Value Best
carbon_emissions,0.962,3583.218,3725.806,Building_6,building,SAC_DB2Value Best
cost,0.955,3768.092,3945.13,Building_6,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.69,0.112,0.162,Building_6,building,SAC_DB2Value Best
electricity_consumption,0.881,4268.635,4843.548,Building_9,building,SAC_DB2Value Best
carbon_emissions,0.879,2179.433,2478.494,Building_9,building,SAC_DB2Value Best
cost,0.87,2362.224,2714.04,Building_9,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.703,0.121,0.172,Building_9,building,SAC_DB2Value Best
electricity_consumption,0.939,6174.917,6573.883,Building_14,building,SAC_DB2Value Best
carbon_emissions,0.939,3157.3,3363.022,Building_14,building,SAC_DB2Value Best
cost,0.934,3407.786,3647.656,Building_14,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.727,0.162,0.223,Building_14,building,SAC_DB2Value Best
